Date,Description,Percentage,Course
2019-09-23,Assignment 0,2%,CSC108
2019-10-07,Assignment 1,5%,CSC108
2019-11-11,Assignment 2,10%,CSC108
2019-12-02,Assignment 3,10%,CSC108
2019-10-28,Midterm,20%,CSC108

2019-10-06,Assignment 1,10%,CSC207
2019-11-17,Assignment 2,15%,CSC207
2019-12-04,Assignment 3,10%,CSC207
2019-11-01,Midterm,20%,CSC207

2019-10-04,Problem Set 1,3%,CSC236
2019-10-18,Problem Set 2,3%,CSC236
2019-11-08,Problem Set 3,3%,CSC236
2019-11-22,Problem Set 4,3%,CSC236
2019-12-06,Problem Set 5,3%,CSC236
2019-10-23,Test 1,15%,CSC236
2019-11-13,Test 2,15%,CSC236

2019-10-06,Critical Review,10%,CSC290
2019-11-03,Critical Review Edits,2%,CSC290
2019-11-04,Midterm Test,15%,CSC290

2019-10-15,Assignment 1,11%,CSC324
2019-12-03,Assignment 2,11%,CSC324
2019-10-23,Midterm,15%,CSC324

2019-10-06,Discussion #1,5%,CSC333
2019-11-03,Discussion #2,5%,CSC333
2019-09-30,Lab Challenge #1,5%,CSC333
2019-10-21,Lab Challenge #2,5%,CSC333
2019-11-04,Paper,25%,CSC333
2019-11-25,Practical,20%,CSC333
2019-09-23,Quiz #1,5%,CSC333
2019-10-07,Quiz #2,5%,CSC333
2019-10-28,Quiz #3,5%,CSC333
2019-11-11,Quiz #4,5%,CSC333
2019-12-02,Written,15%,CSC333

2019-10-08,Group Assignment 1,10%,CSC343
2019-11-05,Group Assignment 2,10%,CSC343
2019-12-03,Group Assignment 3,10%,CSC343
2019-09-18,Group Selection,1%,CSC343
2019-10-30,Midterm Examination,21%,CSC343

2019-10-02,Assignment 1,10%,CSC347
2019-10-23,Assignment 2,10%,CSC347
2019-11-13,Assignment 3,10%,CSC347
2019-12-04,Assignment 4,10%,CSC347

2019-09-29,A1 - System Performance and Profiling,8%,CSC367
2019-10-19,A2 - Parallel Data and Task Managemen,10%,CSC367
2019-11-09,A3 - Shared Memory and Message Passing,10%,CSC367
2019-12-01,A4 - GPU Programming,10%,CSC367
2019-11-05,Midterm (in lecture time); covers the weeks preceding the midterm,10%,CSC367

2019-10-01,A1 - System calls,8%,CSC369
2019-10-20,A2 - Synchronization,8%,CSC369
2019-11-10,A3 - Virtual Memory,9%,CSC369
2019-12-01,A4 - File Systems,12%,CSC369
2019-11-07,Midterm (in lecture time); covers the weeks preceding the midterm,10%,CSC369

2019-10-01,Assignment 1,5%,CSC373
2019-10-15,Assignment 2,5%,CSC373
2019-10-29,Assignment 3,5%,CSC373
2019-11-12,Assignment 4,5%,CSC373
2019-10-29,Midterm,20%,CSC373

2019-10-04,Assignment 1 - Rigid Body Motions,15%,CSC376
2019-11-08,Assignment 2 - Kinematics,15%,CSC376
2019-11-29,Assignment 3 - Motion Generation,20%,CSC376

2019-10-06,Assignment 1,25%,CSC409
2019-11-03,Assignment 2,25%,CSC409
2019-12-04,Assignment 3,25%,CSC409

2019-10-11,Assignment 1,15%,CSC411
2019-11-15,Assignment 2,15%,CSC411
2019-12-04,Assignment 3,15%,CSC411
2019-10-21,Midterm test,15%,CSC411

2019-09-27,Assignment 1,15%,CSC420
2019-10-11,Assignment 2,15%,CSC420
2019-11-01,Assignment 3,15%,CSC420
2019-11-14,Assignment 4,15%,CSC420
2019-12-09,Project + presentation + oral exam,40%,CSC420

2019-10-02,Feedback control,15%,CSC477
2019-11-15,"Filtering, smoothing, least squares",15%,CSC477
2019-10-23,Planning,15%,CSC477
2019-12-04,Robot vision,15%,CSC477

2019-10-31,Term Test,20%,MAT102

2019-10-04,Term Test,20%,MAT132
2019-11-08,Term Test,20%,MAT132

2019-10-25,Test #1,15%,MAT133
2019-11-22,Test #2,15%,MAT133
2020-02-07,Test #3,15%,MAT133
2020-03-20,Test #4,7%,MAT133

2019-11-15,( for your higher test grade and 15% for your lower test grade)  15%,25%,MAT135
2019-10-11,( for your higher test grade and 15% for your lower test grade)  25%,25%,MAT135

N/A,Error,No items found,MAT137

2019-10-08,First term test,17%,MAT157
2020-03-10,Fourth term test,8%,MAT157
2019-11-12,Second term test,10%,MAT157
2020-01-28,Third term test,10%,MAT157

2019-10-04,Term Test 1,19%,MAT202
2019-11-08,Term Test 2,19%,MAT202

2019-10-03,Term Test,15%,MAT223
2019-11-07,Term Test,15%,MAT223
2019-11-28,Term Test,15%,MAT223

2019-10-31,Midterm Test,20%,MAT224

2019-09-20,Quiz 1,2%,MAT232
2019-10-04,Quiz 2,2%,MAT232
2019-11-08,Quiz 3,2%,MAT232
2019-11-22,Quiz 4,2%,MAT232
2019-10-25,Term Test 1,25%,MAT232
2019-11-29,Term Test 2,25%,MAT232

2019-10-09,Term Test 1,21%,MAT233
2019-11-13,Term Test 2,21%,MAT233

2019-10-03,First Term Test,15%,MAT236
2019-11-07,Second Term Test,15%,MAT236

2019-10-24,in class,30%,MAT244

2019-10-22,Term Test,20%,MAT247

2019-10-10,Term Test 1,7%,MAT257
2019-11-14,Term Test 2,7%,MAT257
2020-01-30,Term Test 3,7%,MAT257
2020-03-12,Term Test 4,4%,MAT257

2019-10-09,Test 1,20%,MAT301
2019-11-13,Test 2,20%,MAT301

2019-09-23,Assignment 1,8%,MAT302
2019-10-07,Assignment 2,8%,MAT302
2019-10-28,Assignment 3,8%,MAT302
2019-11-11,Assignment 4,8%,MAT302
2019-11-25,Assignment 5,8%,MAT302
2019-10-21,Mid term test,20%,MAT302

2019-10-30,In-Class Midterm (110 minutes),15%,MAT309

2019-10-24,In class term test on Oct 24,25%,MAT315

2019-10-22,Midterm test,20%,MAT332

2019-09-19,Quiz #1,5%,MAT334
2019-10-24,Quiz #2,5%,MAT334
2019-11-21,Quiz #3,5%,MAT334
2019-10-01,Term test #1,20%,MAT334
2019-11-05,Term test #2,20%,MAT334

2019-10-31,"(2 hours, in lecture)",25%,MAT337

2019-10-22,In-Class Test on Oct 22,25%,MAT344

2019-09-26,Essay,5%,MAT382
2019-10-01,Quiz 1,12%,MAT382
2019-11-05,Quiz 2,12%,MAT382

2019-10-24,Midterm test,20%,MAT388

2019-10-08,Midterm,25%,MAT402

2019-09-18,Homework assignment 1,3%,MAT406
2019-09-25,Homework assignment 2,3%,MAT406
2019-10-02,Homework assignment 3,3%,MAT406
2019-10-16,Homework assignment 4,3%,MAT406
